Type	Date/Time	Description
Sample	13:32:42 10/20/2023	Sample 52 acquired at 05:05:18
Annotation	13:32:42 10/20/2023	F_Fin0_07_Kai_b
Sample	13:39:01 10/20/2023	Sample 53 acquired at 05:11:37
Annotation	13:39:01 10/20/2023	F_Fin0_08_Kai_a
Sample	13:40:20 10/20/2023	Sample 54 acquired at 05:12:56
Annotation	13:40:20 10/20/2023	F_Fin0_08_Kai_b
Sample	13:41:31 10/20/2023	Sample 55 acquired at 05:14:07
Annotation	13:41:31 10/20/2023	alufoil
Sample	13:47:46 10/20/2023	Sample 56 acquired at 05:20:22
Annotation	13:47:46 10/20/2023	F_Fin0_09_Kai_a
Sample	13:48:46 10/20/2023	Sample 57 acquired at 05:21:22
Annotation	13:48:46 10/20/2023	F_Fin0_09_Kai_b
Sample	13:55:41 10/20/2023	Sample 58 acquired at 05:28:17
Annotation	13:55:41 10/20/2023	F_Fin0_10_Kai_a
Sample	13:56:44 10/20/2023	Sample 59 acquired at 05:29:20
Annotation	13:56:44 10/20/2023	F_Fin0_10_Kai_b
Sample	14:23:33 10/20/2023	Sample 60 acquired at 05:56:09
Annotation	14:23:33 10/20/2023	F_Hom0_01_Kai_a
Sample	14:24:36 10/20/2023	Sample 61 acquired at 05:57:12
Annotation	14:24:36 10/20/2023	F_Hom0_01_Kai_b
Sample	14:33:58 10/20/2023	Sample 62 acquired at 06:06:34
Annotation	14:33:58 10/20/2023	F_Hom0_02_Kai_a
Sample	14:35:29 10/20/2023	Sample 63 acquired at 06:08:05
Annotation	14:35:29 10/20/2023	F_Hom0_02_Kai_b
Sample	14:41:30 10/20/2023	Sample 64 acquired at 06:14:06
Annotation	14:41:30 10/20/2023	F_Hom0_03_Kai_a
Sample	14:42:36 10/20/2023	Sample 65 acquired at 06:15:12
Annotation	14:42:36 10/20/2023	F_Hom0_03_Kai_b
Sample	14:45:01 10/20/2023	Sample 66 acquired at 06:17:37
Annotation	14:45:01 10/20/2023	metalplate
